GameID,Temp,DewPoint,Visiability,Humidity,WindSpeed,WindDir,Pressure,Fog,Precipitation,Condition,Rain,Snow,WindChill,HeatIndex
1124,34,3.9,-9999,28,-9999,North,30.35,0,-9999,Unknown,0,0,-999,-9999
1139,37,16,-9999,42,-9999,North,30.47,0,-9999,Unknown,0,0,-999,-9999
1154,30,25,-9999,82,-9999,North,30.48,0,0.11,Unknown,0,0,-999,-9999
1199,64,57.9,-9999,80,-9999,North,29.93,0,-9999,Unknown,0,0,-999,-9999
1203,77,52,-9999,42,-9999,North,30.12,0,-9999,Unknown,0,0,-999,-9999
1217,82,68,-9999,62,-9999,North,29.92,0,-9999,Unknown,0,0,-999,84.9
1250,80.1,57,-9999,45,-9999,North,30.12,0,-9999,Unknown,0,0,-999,80.4
1293,55,27,-9999,34,-9999,North,30.05,0,-9999,Unknown,0,0,-999,-9999
1336,57,30.9,-9999,37,-9999,North,29.96,0,-9999,Unknown,0,0,-999,-9999
1380,57.9,36,-9999,44,-9999,North,30.08,0,-9999,Unknown,0,0,-999,-9999
1411,51.1,36,-9999,56,-9999,North,29.93,0,-9999,Unknown,0,0,-999,-9999
1481,72,57.9,-9999,61,-9999,North,30.35,0,-9999,Unknown,0,0,-999,-9999
1510,66.9,44.1,-9999,44,-9999,North,29.96,0,-9999,Unknown,0,0,-999,-9999
1548,66.9,54,-9999,63,-9999,North,29.93,0,-9999,Unknown,0,0,-999,-9999
1580,64.9,28,-9999,25,-9999,North,30.29,0,-9999,Unknown,0,0,-999,-9999
1596,46.9,25,-9999,42,-9999,North,29.99,0,-9999,Unknown,0,0,-999,-9999
1647,66.9,55,-9999,66,-9999,North,30.12,0,-9999,Unknown,0,0,-999,-9999
1657,46.9,15.1,-9999,28,-9999,North,30.57,0,-9999,Unknown,0,0,-999,-9999
1679,64.9,60.1,-9999,84,-9999,North,29.89,0,-9999,Unknown,0,0,-999,-9999
1683,82,53.1,-9999,37,-9999,North,30.06,0,-9999,Unknown,0,0,-999,81.2
1732,69.1,62.1,-9999,78,-9999,North,30.06,0,-9999,Unknown,0,0,-999,-9999
1745,64,42.1,-9999,45,-9999,North,30.02,0,-9999,Unknown,0,0,-999,-9999
1803,64.9,27,-9999,24,-9999,North,30.26,0,-9999,Unknown,0,0,-999,-9999
1814,53.1,34,-9999,48,-9999,North,29.9,0,-9999,Unknown,0,0,-999,-9999
1846,51.1,26.1,-9999,38,-9999,North,30.17,0,-9999,Unknown,0,0,-999,-9999
1860,48,28,-9999,46,-9999,North,30.23,0,-9999,Unknown,0,0,-999,-9999
1891,52,41,-9999,66,-9999,North,29.99,0,0.01,Unknown,0,0,-999,-9999
4,81,57,10,44,4.6,NNE,30,0,-9999,Mostly Cloudy,0,0,-999,81
65,64.9,52,10,63,3.5,Variable,30.22,0,-9999,Overcast,0,0,-999,-9999
98,59,44.1,10,58,6.9,North,30.1,0,-9999,Mostly Cloudy,0,0,-999,-9999
131,75.9,52,10,43,3.5,West,29.98,0,-9999,Mostly Cloudy,0,0,-999,-9999
145,55,54,4,96,0,North,30.1,0,-9999,Clear,0,0,-999,-9999
179,42.1,26.1,10,53,3.5,Variable,30.32,0,-9999,Overcast,0,0,40.2,-9999
223,34,25,10,70,4.6,NW,30.14,0,-9999,Partly Cloudy,0,0,29.8,-9999
